REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v,total infected,weekly infected,
National,X,2010,28,1620,0.679012,2,0,7,0,0,2,0,11,6,
National,X,2010,29,1606,0.498132,3,0,2,0,0,3,0,8,-3,
National,X,2010,30,1686,1.36418,1,0,13,4,0,5,0,23,15,
National,X,2010,31,1520,1.05263,4,0,9,2,0,1,0,16,-7,
National,X,2010,32,1676,1.73031,7,0,10,2,0,10,0,29,13,
National,X,2010,33,1790,1.06145,5,0,11,0,0,3,0,19,-10,
National,X,2010,34,1967,2.03355,10,0,18,6,0,6,0,40,21,
National,X,2010,35,2212,1.26582,7,0,14,3,0,4,0,28,-12,
National,X,2010,36,2336,1.5411,9,0,16,7,0,4,0,36,8,
National,X,2010,37,2698,1.85322,5,1,31,7,0,6,0,50,14,
National,X,2010,38,2960,1.62162,0,0,30,9,0,9,0,48,-2,
National,X,2010,39,2988,1.33869,2,0,20,8,0,10,0,40,-8,
